2023-05-16-15-45-51,calm,0bpm,-1.0Hz,1.0dBm,100.0%,100%
2023-05-16-15-45-52,calm,0bpm,-1.0Hz,28.0dBm,100.0%,100%
2023-05-16-15-45-53,calm,0bpm,-1.0Hz,6.0dBm,100.0%,100%
2023-05-16-15-45-54,calm,0bpm,-1.0Hz,6.0dBm,100.0%,100%
2023-05-16-15-45-55,stress,88bpm,-1.0Hz,31.0dBm,100.0%,67%
2023-05-16-15-45-56,stress,88bpm,-1.0Hz,21.0dBm,100.0%,67%
2023-05-16-15-45-57,stress,88bpm,-1.0Hz,39.0dBm,100.0%,67%
2023-05-16-15-45-58,stress,87bpm,-1.0Hz,18.0dBm,100.0%,67%
2023-05-16-15-45-59,stress,87bpm,-1.0Hz,13.0dBm,100.0%,67%
2023-05-16-15-46-00,stress,88bpm,-1.0Hz,18.0dBm,100.0%,67%
2023-05-16-15-46-01,stress,88bpm,-1.0Hz,14.0dBm,100.0%,67%
2023-05-16-15-46-02,stress,89bpm,143.0Hz,62.0dBm,17.459393%,83%
2023-05-16-15-46-03,stress,89bpm,-1.0Hz,13.0dBm,100.0%,67%
2023-05-16-15-46-04,stress,89bpm,238.0Hz,32.0dBm,12.809467%,67%
2023-05-16-15-46-05,stress,88bpm,-1.0Hz,28.0dBm,100.0%,67%
2023-05-16-15-46-06,stress,87bpm,-1.0Hz,42.0dBm,100.0%,83%
2023-05-16-15-46-07,stress,86bpm,-1.0Hz,35.0dBm,100.0%,67%
2023-05-16-15-46-08,stress,85bpm,-1.0Hz,21.0dBm,100.0%,67%
2023-05-16-15-46-09,stress,84bpm,-1.0Hz,22.0dBm,100.0%,67%
2023-05-16-15-46-10,stress,84bpm,-1.0Hz,12.0dBm,100.0%,67%
2023-05-16-15-46-11,stress,85bpm,-1.0Hz,38.0dBm,100.0%,67%
2023-05-16-15-46-12,stress,85bpm,-1.0Hz,19.0dBm,100.0%,67%
2023-05-16-15-46-13,stress,85bpm,195.0Hz,135.0dBm,6.8894863%,83%
2023-05-16-15-46-14,stress,85bpm,-1.0Hz,24.0dBm,100.0%,67%
2023-05-16-15-46-15,stress,85bpm,-1.0Hz,20.0dBm,100.0%,67%
2023-05-16-15-46-16,stress,85bpm,-1.0Hz,14.0dBm,100.0%,67%
2023-05-16-15-46-17,stress,85bpm,-1.0Hz,20.0dBm,100.0%,67%
2023-05-16-15-46-18,stress,85bpm,-1.0Hz,12.0dBm,100.0%,67%
2023-05-16-15-46-19,stress,85bpm,-1.0Hz,12.0dBm,100.0%,67%
2023-05-16-15-46-20,stress,84bpm,-1.0Hz,14.0dBm,100.0%,67%
2023-05-16-15-46-21,stress,84bpm,-1.0Hz,39.0dBm,100.0%,67%
2023-05-16-15-46-22,stress,83bpm,-1.0Hz,31.0dBm,100.0%,67%
2023-05-16-15-46-23,stress,83bpm,295.0Hz,32.0dBm,19.824469%,67%
2023-05-16-15-46-24,stress,83bpm,232.0Hz,23.0dBm,2.1413565%,67%
2023-05-16-15-46-25,stress,84bpm,-1.0Hz,7.0dBm,100.0%,67%
2023-05-16-15-46-26,stress,85bpm,-1.0Hz,6.0dBm,100.0%,67%
2023-05-16-15-46-27,stress,85bpm,-1.0Hz,20.0dBm,100.0%,67%
2023-05-16-15-46-28,stress,84bpm,-1.0Hz,29.0dBm,100.0%,67%
2023-05-16-15-46-29,stress,85bpm,209.0Hz,211.0dBm,0.20685196%,67%
2023-05-16-15-46-30,stress,86bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-16-15-46-31,stress,87bpm,-1.0Hz,10.0dBm,100.0%,67%
2023-05-16-15-46-32,stress,87bpm,194.0Hz,55.0dBm,11.299616%,83%
2023-05-16-15-46-33,stress,86bpm,-1.0Hz,27.0dBm,100.0%,67%
2023-05-16-15-46-34,stress,86bpm,-1.0Hz,9.0dBm,100.0%,67%
2023-05-16-15-46-35,stress,84bpm,-1.0Hz,20.0dBm,100.0%,67%
2023-05-16-15-46-36,stress,83bpm,-1.0Hz,13.0dBm,100.0%,67%
2023-05-16-15-46-37,stress,83bpm,-1.0Hz,20.0dBm,100.0%,67%
2023-05-16-15-46-38,stress,84bpm,250.0Hz,63.0dBm,8.775836%,67%
2023-05-16-15-46-39,stress,85bpm,-1.0Hz,24.0dBm,100.0%,67%
2023-05-16-15-46-40,stress,86bpm,-1.0Hz,16.0dBm,100.0%,67%
2023-05-16-15-46-41,stress,86bpm,-1.0Hz,24.0dBm,100.0%,67%
